2024-11-23 14:44:29,210 INFO    MainThread:3787619 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-11-23 14:44:29,211 INFO    MainThread:3787619 [wandb_setup.py:_flush():79] Configure stats pid to 3787619
2024-11-23 14:44:29,211 INFO    MainThread:3787619 [wandb_setup.py:_flush():79] Loading settings from /home/protomate/.config/wandb/settings
2024-11-23 14:44:29,211 INFO    MainThread:3787619 [wandb_setup.py:_flush():79] Loading settings from /home/protomate/CleanSweepRL/wandb/settings
2024-11-23 14:44:29,211 INFO    MainThread:3787619 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-23 14:44:29,211 INFO    MainThread:3787619 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-23 14:44:29,211 INFO    MainThread:3787619 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/protomate/CleanSweepRL/main.py', 'program': '/home/protomate/CleanSweepRL/main.py'}
2024-11-23 14:44:29,211 INFO    MainThread:3787619 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-23 14:44:29,211 INFO    MainThread:3787619 [wandb_init.py:_log_setup():534] Logging user logs to /home/protomate/CleanSweepRL/wandb/run-20241123_144429-0x12sidr/logs/debug.log
2024-11-23 14:44:29,211 INFO    MainThread:3787619 [wandb_init.py:_log_setup():535] Logging internal logs to /home/protomate/CleanSweepRL/wandb/run-20241123_144429-0x12sidr/logs/debug-internal.log
2024-11-23 14:44:29,211 INFO    MainThread:3787619 [wandb_init.py:init():621] calling init triggers
2024-11-23 14:44:29,212 INFO    MainThread:3787619 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {'grid_size': 10, 'tether_length': 3, 'max_steps': 200, 'num_episodes': 1000, 'memory_size': 10000, 'batch_size': 64, 'gamma': 0.99, 'learning_rate': 0.001, 'epsilon_start': 1.0, 'epsilon_end': 0.01, 'epsilon_decay': 0.995, 'save_dir': 'models', 'save_freq': 100, 'load_model': None, 'render': False, 'render_freq': 50, 'mode': 'train', 'eval_episodes': 10}
2024-11-23 14:44:29,212 INFO    MainThread:3787619 [wandb_init.py:init():671] starting backend
2024-11-23 14:44:29,212 INFO    MainThread:3787619 [wandb_init.py:init():675] sending inform_init request
2024-11-23 14:44:29,214 INFO    MainThread:3787619 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-23 14:44:29,215 INFO    MainThread:3787619 [wandb_init.py:init():688] backend started and connected
2024-11-23 14:44:29,218 INFO    MainThread:3787619 [wandb_init.py:init():783] updated telemetry
2024-11-23 14:44:29,221 INFO    MainThread:3787619 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-11-23 14:44:29,749 INFO    MainThread:3787619 [wandb_init.py:init():867] starting run threads in backend
2024-11-23 14:44:29,837 INFO    MainThread:3787619 [wandb_run.py:_console_start():2463] atexit reg
2024-11-23 14:44:29,837 INFO    MainThread:3787619 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-11-23 14:44:29,837 INFO    MainThread:3787619 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-11-23 14:44:29,837 INFO    MainThread:3787619 [wandb_run.py:_redirect():2401] Redirects installed.
2024-11-23 14:44:29,838 INFO    MainThread:3787619 [wandb_init.py:init():911] run started, returning control to user process
2024-11-23 14:44:30,949 WARNING MsgRouterThr:3787619 [router.py:message_loop():77] message_loop has been closed
